state,pws_type,submission_year,epa_region_code,submission_quarter,primacy_agency,primary_source,pws_id,pws_name,season_start_date,season_end_date,activity_status,population,connections,first_reported,last_reported,owner_type,violation_code,violation_category,health_based,contaminant_code,major_violation,return_to_compliance_date,rule_name,violation_type,contaminant
KS,CWS,2024,7,3,Kansas,Surface water,KS2012520,"ELK CITY, CITY OF",,,A,292,169,4/13/1979,9/3/2024,Local government,3,MR,N,100,Y,,Not Federally Regulated,"Monitoring, Regular",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2009902,"BARTLETT, CITY OF",,,A,68,63,4/13/1979,9/3/2024,Local government,2,MCL,Y,100,,,Not Federally Regulated,"Maximum Contaminant Level Violation, Average",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2011102,"ALLEN, CITY OF",,,A,159,85,4/13/1979,9/3/2024,Local government,2,MCL,Y,100,,,Not Federally Regulated,"Maximum Contaminant Level Violation, Average",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2003103,"GRIDLEY, CITY OF",,,A,312,216,4/13/1979,9/3/2024,Local government,2,MCL,Y,100,,,Not Federally Regulated,"Maximum Contaminant Level Violation, Average",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2003103,"GRIDLEY, CITY OF",,,A,312,216,4/13/1979,9/3/2024,Local government,2,MCL,Y,100,,,Not Federally Regulated,"Maximum Contaminant Level Violation, Average",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2003103,"GRIDLEY, CITY OF",,,A,312,216,4/13/1979,9/3/2024,Local government,2,MCL,Y,100,,,Not Federally Regulated,"Maximum Contaminant Level Violation, Average",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2003103,"GRIDLEY, CITY OF",,,A,312,216,4/13/1979,9/3/2024,Local government,2,MCL,Y,100,,,Not Federally Regulated,"Maximum Contaminant Level Violation, Average",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2003103,"GRIDLEY, CITY OF",,,A,312,216,4/13/1979,9/3/2024,Local government,2,MCL,Y,100,,,Not Federally Regulated,"Maximum Contaminant Level Violation, Average",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2003103,"GRIDLEY, CITY OF",,,A,312,216,4/13/1979,9/3/2024,Local government,2,MCL,Y,100,,,Not Federally Regulated,"Maximum Contaminant Level Violation, Average",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2003103,"GRIDLEY, CITY OF",,,A,312,216,4/13/1979,9/3/2024,Local government,2,MCL,Y,100,,,Not Federally Regulated,"Maximum Contaminant Level Violation, Average",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2003103,"GRIDLEY, CITY OF",,,A,312,216,4/13/1979,9/3/2024,Local government,2,MCL,Y,100,,,Not Federally Regulated,"Maximum Contaminant Level Violation, Average",Turbidity
KS,CWS,2024,7,3,Kansas,Surface water purchased,KS2003103,"GRIDLEY, CITY OF",,,A,312,216,4/13/1979,9/3/2024,Local government,2,MCL,Y,100,,,Not Federally Regulated,"Maximum Contaminant Level Violation, Average",Turbidity
